,0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,run_2,FD003-->FD004,27.106182,113835.0558,25.93450684,51774.2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,run_3,FD003-->FD004,27.106182,113835.0558,26.31764984,28890.45606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,run_4,FD003-->FD004,27.106182,113835.0558,25.72458527,45958.03086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,run_5,FD003-->FD004,27.106182,113835.0558,25.73332279,38393.23998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,run_6,FD003-->FD004,27.106182,113835.0558,25.63101673,42308.77093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,run_7,FD003-->FD004,27.106182,113835.0558,26.66661514,90420.93366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,run_8,FD003-->FD004,27.106182,113835.0558,27.71723049,16731.84414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,run_9,FD003-->FD004,27.106182,113835.0558,25.89575382,55884.56385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,mean,0,27.11,113835.06,26.12,47075.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,std,0,0,0,0.61,18909.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,run_0,FD004-->FD001,39.29979343,161724.2676,37.83185902,119997.6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,run_1,FD004-->FD001,39.29979343,161724.2676,38.08797836,123685.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,run_2,FD004-->FD001,39.29979343,161724.2676,37.88551769,124111.8362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,run_3,FD004-->FD001,39.29979343,161724.2676,37.94063683,121396.2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,run_4,FD004-->FD001,39.29979343,161724.2676,37.48226414,117552.8226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,run_5,FD004-->FD001,39.29979343,161724.2676,37.66331863,118598.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,run_6,FD004-->FD001,39.29979343,161724.2676,37.98573265,122266.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,run_7,FD004-->FD001,39.29979343,161724.2676,37.91166019,122101.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,run_8,FD004-->FD001,39.29979343,161724.2676,38.09337616,125059.7264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,run_9,FD004-->FD001,39.29979343,161724.2676,37.79664364,120357.3616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,mean,0,39.3,161724.27,37.87,121512.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,std,0,0,0,0.18,2297.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,run_0,FD004-->FD002,31.31064525,96527.0635,28.56328891,60935.12173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,run_1,FD004-->FD002,31.31064525,96527.0635,29.43849549,63841.0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,run_2,FD004-->FD002,31.31064525,96527.0635,29.24589759,64224.38102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,run_3,FD004-->FD002,31.31064525,96527.0635,29.14530402,63747.22444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,run_4,FD004-->FD002,31.31064525,96527.0635,28.45389131,64056.85045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,run_5,FD004-->FD002,31.31064525,96527.0635,28.80213378,61105.2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,run_6,FD004-->FD002,31.31064525,96527.0635,29.2334536,62685.59282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,run_7,FD004-->FD002,31.31064525,96527.0635,28.49760686,62547.70641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,run_8,FD004-->FD002,31.31064525,96527.0635,28.38210546,60102.37284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
