,0,1,2,3,4,5,,,,,
108,run_0,FD004-->FD001,39.29979343,161724.2676,37.67936764,118380.0748,,,,,
109,run_1,FD004-->FD001,39.29979343,161724.2676,37.8055645,120098.3273,,,,,
110,run_2,FD004-->FD001,39.29979343,161724.2676,37.76249924,122529.0613,,,,,
111,run_3,FD004-->FD001,39.29979343,161724.2676,37.8381012,121769.9222,,,,,
112,run_4,FD004-->FD001,39.29979343,161724.2676,38.05789127,125220.4949,,,,,
113,run_5,FD004-->FD001,39.29979343,161724.2676,37.91317616,120773.354,,,,,
114,run_6,FD004-->FD001,39.29979343,161724.2676,38.0461422,123840.7461,,,,,
115,run_7,FD004-->FD001,39.29979343,161724.2676,37.92559223,124949.4625,,,,,
116,run_8,FD004-->FD001,39.29979343,161724.2676,37.81084137,119637.5394,,,,,
117,run_9,FD004-->FD001,39.29979343,161724.2676,37.84022274,121277.4156,,,,,
118,mean,0,0,0,37.87,121847.64,,,,,
119,std,0,0,0,0.11,2165.37,,,,,
120,run_0,FD004-->FD002,31.31064525,96527.0635,28.69387194,63332.38517,,,,,
121,run_1,FD004-->FD002,31.31064525,96527.0635,28.94915727,69181.26859,,,,,
122,run_2,FD004-->FD002,31.31064525,96527.0635,28.99746983,62024.68187,,,,,
123,run_3,FD004-->FD002,31.31064525,96527.0635,28.37832627,62353.43775,,,,,
124,run_4,FD004-->FD002,31.31064525,96527.0635,28.85111816,63150.32102,,,,,
125,run_5,FD004-->FD002,31.31064525,96527.0635,28.64997314,61003.59041,,,,,
126,run_6,FD004-->FD002,31.31064525,96527.0635,28.37767087,61680.50615,,,,,
127,run_7,FD004-->FD002,31.31064525,96527.0635,28.81232496,63052.85363,,,,,
128,run_8,FD004-->FD002,31.31064525,96527.0635,29.08853509,63538.95804,,,,,
129,run_9,FD004-->FD002,31.31064525,96527.0635,29.32678832,63174.70613,,,,,
130,mean,0,0,0,28.81,63249.27,,,,,
131,std,0,0,0,0.29,2124.61,,,,,
132,run_0,FD004-->FD003,19.25913982,1861.005545,14.08526182,464.7297639,,,,,
133,run_1,FD004-->FD003,19.25913982,1861.005545,13.91843414,420.6581867,,,,,
134,run_2,FD004-->FD003,19.25913982,1861.005545,14.24428558,623.7442309,,,,,
135,run_3,FD004-->FD003,19.25913982,1861.005545,14.2121666,517.1327315,,,,,
136,run_4,FD004-->FD003,19.25913982,1861.005545,14.14281492,444.1889132,,,,,
137,run_5,FD004-->FD003,19.25913982,1861.005545,14.26681595,584.4525777,,,,,
138,run_6,FD004-->FD003,19.25913982,1861.005545,14.29723349,444.6550578,,,,,
139,run_7,FD004-->FD003,19.25913982,1861.005545,13.99135647,440.6571458,,,,,
140,run_8,FD004-->FD003,19.25913982,1861.005545,14.23197813,478.2088486,,,,,
141,run_9,FD004-->FD003,19.25913982,1861.005545,14.22379055,467.9643108,,,,,
142,mean,0,0,0,14.16,488.64,,,,,
143,std,0,0,0,0.12,63.39,,,,,
144,FD001-->FD002,Loss,20.02+\-0.49,,,,,,20.02 ± 0.49,,4262.14 ± 358.14
145,FD001-->FD002,Score,4262.14+\-358.14,,,,,,38.02 ± 0.28,,8933.24 ± 339.42
146,FD001-->FD003,Loss,38.02+\-0.28,,,,,,32.31 ± 0.28,,14962.07± 1230.36
147,FD001-->FD003,Score,8933.24+\-339.42,,,,,,13.88 ± 0.14,,347.80± 20.36
148,FD001-->FD004,Loss,32.31+\-0.28,,,,,,32.36 ± 0.81,,4055.36± 575.94
149,FD001-->FD004,Score,14962.07+\-1230.36,,,,,,33.54 ± 0.76,,13319.31± 1940.63
150,FD002-->FD001,Loss,13.88+\-0.14,,,,,,19.75 ± 1.01,,1359.52± 240.33
151,FD002-->FD001,Score,347.80+\-20.36,,,,,,24.28 ± 1.00,,23529.91± 17411.79
152,FD002-->FD003,Loss,32.36+\-0.81,,,,,,26.36 ± 0.23,,53359.19± 19447.61
153,FD002-->FD003,Score,4055.36+\-575.94,,,,,,37.87 ± 0.11,,121847.64± 2165.37
154,FD002-->FD004,Loss,33.54+\-0.76,,,,,,28.81 ± 0.29,,63249.27± 2124.61
155,FD002-->FD004,Score,13319.31+\-1940.63,,,,,,14.16 ± 0.12,,488.64± 63.39
156,FD003-->FD001,Loss,19.75+\-1.01,,,,,,,,
157,FD003-->FD001,Score,1359.52+\-240.33,,,,,,,,
158,FD003-->FD002,Loss,24.28+\-1.00,,,,,,,,
159,FD003-->FD002,Score,23529.91+\-17411.79,,,,,,,,
160,FD003-->FD004,Loss,26.36+\-0.23,,,,,,,,
161,FD003-->FD004,Score,53359.19+\-19447.61,,,,,,,,
162,FD004-->FD001,Loss,37.87+\-0.11,,,,,,,,
163,FD004-->FD001,Score,121847.64+\-2165.37,,,,,,,,
164,FD004-->FD002,Loss,28.81+\-0.29,,,,,,,,
165,FD004-->FD002,Score,63249.27+\-2124.61,,,,,,,,
166,FD004-->FD003,Loss,14.16+\-0.12,,,,,,,,
167,FD004-->FD003,Score,488.64+\-63.39,,,,,,,,
168,FD001-->FD002,20.02,0.49,4262.14,358.14,,#NAME?,,,,
169,FD001-->FD003,38.02,0.28,8933.24,339.42,,,,,,
170,FD001-->FD004,32.31,0.28,14962.07,1230.36,,,,,,
171,FD002-->FD001,13.88,0.14,347.8,20.36,,,,,,
172,FD002-->FD003,32.36,0.81,4055.36,575.94,,,,,,
173,FD002-->FD004,33.54,0.76,13319.31,1940.63,,,,,,
174,FD003-->FD001,19.75,1.01,1359.52,240.33,,,,,,
175,FD003-->FD002,24.28,1,23529.91,17411.79,,,,,,
176,FD003-->FD004,26.36,0.23,53359.19,19447.61,,,,,,
177,FD004-->FD001,37.87,0.11,121847.64,2165.37,,,,,,
178,FD004-->FD002,28.81,0.29,63249.27,2124.61,,,,,,
179,FD004-->FD003,14.16,0.12,488.64,63.39,,,,,,
,,26.78,,25809.5075,,,,,,,
